symbol,name,momentum,close,ma5,last_4_closes_sum,rps
300004,南风股份,0.3217703349282298,11.05,11.324000000000002,44.81999999999999,81.37996219281663
688135,利扬芯片,0.32174338883447584,26.99,26.936,107.61,81.36105860113422
300635,中达安,0.3216374269005847,15.82,15.966000000000003,64.03,81.3421550094518
605155,西大门,0.321546052631579,16.07,16.166000000000004,64.72,81.32325141776937
300289,利德曼,0.3206831119544593,6.96,7.004,28.11,81.30434782608695
002446,盛路通信,0.3205479452054796,9.64,9.554,38.57,81.28544423440454
603556,海兴电力,0.32033096926713944,33.51,33.546,133.51,81.26654064272212
600686,金龙汽车,0.3201930812550282,16.41,16.418,65.59,81.2476370510397
688300,联瑞新材,0.31988722619822163,60.86,58.592,233.94,81.22873345935729
600984,建设机械,0.31987577639751547,4.25,4.372,17.27,81.20982986767486
002468,申通快递,0.319815668202765,14.32,14.445999999999998,57.86,81.19092627599244
300693,盛弘股份,0.31981068289384723,39.04,38.58,153.88,81.17202268431002
300573,兴齐眼药,0.3193666731029156,68.33,68.208,272.9,81.1531190926276
300357,我武生物,0.31884720951509604,28.83,28.99,115.92999999999999,81.13421550094519
603355,莱克电气,0.31875000000000003,29.54,30.27,120.38999999999999,81.11531190926276
603363,傲农生物,0.318435754189944,4.72,4.877999999999999,19.39,81.09640831758034
688037,芯源微,0.31820216671143337,147.23,137.546,554.13,81.07750472589792
603358,华达科技,0.31808606680710205,43.8,44.212,176.82999999999998,81.05860113421551
000586,汇源通信,0.3180542563143125,14.09,13.732,55.58,81.03969754253309
688516,奥特维,0.3170356703567034,42.83,42.751999999999995,172.57,81.02079395085067
603049,中策橡胶,0.3165317919075144,56.94,57.412,228.4,81.00189035916824
603239,浙江仙通,0.31648768161718255,20.84,20.434,81.87,80.98298676748583
301225,恒勃股份,0.31485411140583547,99.14,98.794,393.09,80.96408317580341
688326,经纬恒润-W,0.3144388686131386,115.25,107.604,439.92,80.94517958412098
600969,郴电国际,0.31436314363143625,9.7,9.742,39.07,80.92627599243856
603158,腾龙股份,0.31360201511335,10.43,10.314,41.339999999999996,80.90737240075615
688295,中复神鹰,0.31341821743388826,26.82,26.034,105.53999999999999,80.88846880907371
002176,江特电机,0.3132694938440493,9.6,9.472,37.93,80.8695652173913
300054,鼎龙股份,0.3131043681227077,39.38,37.872,151.2,80.85066162570888
688478,晶升股份,0.3130010456605089,37.67,37.646,151.03,80.83175803402646
301070,开勒股份,0.31286948613005927,57.74,58.85600000000001,234.0,80.81285444234405
002474,榕基软件,0.3125,9.24,9.47,37.82,80.79395085066162
688002,睿创微纳,0.3122072599531618,89.65,88.326,355.01,80.7750472589792
600826,兰生股份,0.3120393120393119,10.68,10.636,42.68,80.75614366729678
688303,大全能源,0.3117389186556258,26.93,27.276,108.74000000000001,80.73724007561437
000975,山金国际,0.3111566018423747,25.62,25.020000000000003,100.33,80.71833648393195
300058,蓝色光标,0.3111455108359134,8.47,8.516,34.05,80.69943289224952
605299,舒华体育,0.309655937846837,11.8,11.796000000000001,47.519999999999996,80.6805293005671
688175,高凌信息,0.3095349929544387,27.88,28.49,113.65,80.66162570888469
603001,奥康国际,0.3094170403587443,8.76,8.7,35.0,80.64272211720227
002928,华夏航空,0.309265944645006,10.88,11.258000000000001,44.88,80.62381852551985
300807,天迈科技,0.3092528451261751,52.92,49.914,202.51999999999998,80.60491493383742
000505,京粮控股,0.30889235569422785,8.39,7.792,31.16,80.586011342155
600295,鄂尔多斯,0.30867052023121383,11.32,11.489999999999998,45.949999999999996,80.56710775047259
600725,云维股份,0.30864197530864196,4.24,4.194,16.89,80.54820415879017
688621,阳光诺和,0.3084483084483086,69.23,67.63000000000001,270.87,80.52930056710775
603871,嘉友国际,0.30812324929971974,14.01,13.894,55.56,80.51039697542534
603588,高能环境,0.30796460176991136,7.39,7.1659999999999995,29.05,80.4914933837429
001376,百通能源,0.30762920426579166,15.94,15.382,61.730000000000004,80.47258979206049
001234,泰慕士,0.3068883610451307,27.51,28.103999999999996,112.45,80.45368620037807
603901,永创智能,0.30666666666666675,13.72,13.628,54.72,80.43478260869566
920765,美之高,0.3060538116591929,23.3,25.375999999999998,98.52,80.41587901701324
605277,新亚电子,0.3059096176129778,22.54,22.403999999999996,89.5,80.39697542533081
605228,神通科技,0.30585106382978733,14.73,14.558000000000002,58.56,80.37807183364839
600815,厦工股份,0.3054545454545454,3.59,3.6320000000000006,14.59,80.35916824196597
300745,欣锐科技,0.305307409353652,24.84,24.868000000000002,99.25,80.34026465028356
688200,华峰测控,0.3042748198418805,186.42,177.55,710.81,80.32136105860114
000685,中山公用,0.3042479908151548,11.36,11.459999999999999,45.650000000000006,80.30245746691872
000035,中国天楹,0.30424528301886794,5.53,5.63,22.46,80.2835538752363
002157,正邦科技,0.30402930402930406,3.56,3.562,14.22,80.26465028355388
601702,华峰铝业,0.3038847117794485,20.81,20.524,82.07000000000001,80.24574669187146
300701,森霸传感,0.30334928229665076,13.62,13.746,54.87,80.22684310018904
920037,广信科技,0.30314044780459426,89.63,88.82,355.38,80.20793950850663
002533,金杯电工,0.3029682702149438,12.73,12.388000000000002,49.57000000000001,80.1890359168242
688005,容百科技,0.3028012449977769,29.3,28.338,114.08999999999999,80.17013232514178
301012,扬电科技,0.3027522935779815,25.56,25.7,102.80000000000001,80.15122873345936
301010,晶雪节能,0.30236686390532563,22.01,23.342000000000002,91.59,80.13232514177695
601226,华电科工,0.30213464696223313,7.93,7.92,31.689999999999998,80.11342155009451
920174,五新隧装,0.3021233051931439,50.9,49.0,196.73000000000002,80.0945179584121
000799,酒鬼酒,0.3019226204604794,54.85,55.338,220.84,80.07561436672968
688779,五矿新能,0.3018518518518518,7.03,6.922,27.69,80.05671077504726
002297,博云新材,0.3013871374527113,10.32,10.21,41.269999999999996,80.03780718336483
603360,百傲化学,0.3012736056214317,29.63,30.574,121.94999999999999,80.01890359168242
603558,健盛集团,0.30011325028312574,11.48,11.696000000000002,46.870000000000005,80.0
920640,富士达,0.29962029685881947,37.65,37.308,149.81,79.98109640831757
000021,深科技,0.29951948745328344,24.34,23.986,96.29,79.96219281663515
603312,西典新能,0.29911942762795807,47.21,47.044000000000004,188.16,79.94328922495274
603269,海鸥股份,0.2988384371700106,12.3,12.468,49.7,79.92438563327032
